customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date_x,churn_next_60d,split,snapshot_date_y,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date,last_campaign_received,last_campaign_cost,manual_priority_bucket
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No,2025-09-30,0,train,2025-09-30,10,34,2,1,0,0,0,0,2025-09-30,new_launch,18,low
CUST00012,2024-11-01,Tier 2,35-44,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,2025-09-30,3,16,1,1,0,0,0,5,2025-09-30,none,12,medium
CUST00013,2025-01-06,Tier 3,35-44,Google Search,,Fragrance,Oily,Yes,2025-09-30,0,train,2025-09-30,4,22,1,0,0,2,0,21,2025-09-30,free_shipping,25,medium
CUST00014,2024-05-08,Tier 2,18-24,Referral,,Fragrance,Combination,No,2025-09-30,0,train,2025-09-30,11,57,3,2,2,0,0,17,2025-09-30,bundle_discount,12,medium
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes,2025-09-30,0,train,2025-09-30,6,23,2,0,1,0,0,11,2025-09-30,none,12,low
CUST00016,2024-08-13,Tier 2,18-24,Instagram,,Skin Care,Sensitive,Yes,2025-09-30,1,test,2025-09-30,2,8,1,0,0,4,1,32,2025-09-30,welcome_offer,0,high
CUST00017,2024-05-15,Tier 3,35-44,Referral,,Hair Care,Combination,Yes,2025-09-30,1,train,2025-09-30,4,23,1,1,0,9,4,47,2025-09-30,bundle_discount,0,high
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,,Yes,2025-09-30,1,test,2025-09-30,3,8,1,0,0,4,2,37,2025-09-30,new_launch,18,high
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes,2025-09-30,0,train,2025-09-30,5,27,2,0,1,3,1,0,2025-09-30,free_shipping,40,low
CUST00020,2024-04-05,Tier 3,45+,Instagram,,Skin Care,Combination,No,2025-09-30,1,train,2025-09-30,0,0,0,0,0,0,0,60,2025-09-30,welcome_offer,12,high
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes,2025-09-30,1,train,2025-09-30,3,14,1,1,0,2,0,18,2025-09-30,new_launch,0,high
CUST00022,2025-07-09,Tier 1,18-24,Instagram,,Wellness,Normal,Yes,2025-09-30,0,train,2025-09-30,10,33,5,1,2,4,1,0,2025-09-30,welcome_offer,18,low
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes,2025-09-30,0,train,2025-09-30,3,15,1,1,1,4,1,7,2025-09-30,welcome_offer,12,low
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,,Skin Care,Dry,Yes,2025-09-30,0,test,2025-09-30,13,71,3,2,2,3,0,0,2025-09-30,new_launch,12,low
CUST00025,2024-03-15,Tier 2,18-24,Referral,,Baby Care,Normal,Yes,2025-09-30,1,test,2025-09-30,11,54,2,3,1,6,1,29,2025-09-30,new_launch,12,high
CUST00026,2025-01-13,Tier 2,25-34,Referral,,Wellness,,Yes,2025-09-30,0,train,2025-09-30,14,55,3,3,0,1,0,26,2025-09-30,none,25,medium
CUST00027,2024-04-16,Tier 1,45+,Instagram,,Baby Care,Sensitive,Yes,2025-09-30,0,validation,2025-09-30,11,44,3,2,1,5,2,18,2025-09-30,free_shipping,18,medium
CUST00028,2024-09-27,Tier 1,25-34,Influencer,,Baby Care,Sensitive,Yes,2025-09-30,0,train,2025-09-30,1,4,1,0,0,3,0,19,2025-09-30,free_shipping,40,high
CUST00029,2024-06-14,Tier 2,35-44,Referral,,Skin Care,,No,2025-09-30,0,train,2025-09-30,1,6,0,0,0,0,0,0,2025-09-30,free_shipping,40,low
CUST00030,2024-05-31,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No,2025-09-30,0,test,2025-09-30,11,31,2,3,1,0,0,3,2025-09-30,free_shipping,40,medium
CUST00031,2025-07-27,Tier 1,35-44,Marketplace,,Wellness,Dry,No,2025-09-30,1,train,2025-09-30,6,35,3,0,1,0,0,9,2025-09-30,new_launch,0,medium
CUST00032,2024-12-06,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,0,test,2025-09-30,12,70,4,2,1,0,0,13,2025-09-30,bundle_discount,40,low
CUST00033,2024-08-15,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes,2025-09-30,0,validation,2025-09-30,7,41,2,2,1,3,0,7,2025-09-30,welcome_offer,12,medium
CUST00034,2024-10-12,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes,2025-09-30,0,train,2025-09-30,7,30,4,1,2,8,2,0,2025-09-30,welcome_offer,40,medium
CUST00035,2024-09-28,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,1,train,2025-09-30,6,25,2,1,1,8,0,25,2025-09-30,new_launch,18,high
CUST00036,2025-03-22,Tier 3,18-24,Referral,Silver,Makeup,,Yes,2025-09-30,1,train,2025-09-30,0,0,0,0,0,0,0,14,2025-09-30,bundle_discount,18,medium
CUST00037,2024-11-17,Tier 1,35-44,Influencer,,Makeup,Sensitive,Yes,2025-09-30,0,train,2025-09-30,5,28,2,0,0,3,0,28,2025-09-30,welcome_offer,12,high
CUST00038,2025-01-23,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,2025-09-30,0,train,2025-09-30,5,23,1,0,0,5,0,14,2025-09-30,bundle_discount,25,medium
CUST00039,2024-11-25,Tier 2,25-34,Instagram,,Wellness,,Yes,2025-09-30,0,train,2025-09-30,6,20,1,1,0,3,1,4,2025-09-30,welcome_offer,12,low
CUST00040,2024-12-09,Tier 3,18-24,Instagram,,Fragrance,Dry,Yes,2025-09-30,1,train,2025-09-30,1,4,0,0,0,1,0,42,2025-09-30,none,18,high
CUST00041,2024-03-15,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes,2025-09-30,1,train,2025-09-30,5,19,1,1,0,4,2,22,2025-09-30,free_shipping,18,medium
CUST00042,2024-04-19,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes,2025-09-30,0,train,2025-09-30,3,13,1,0,0,7,2,14,2025-09-30,none,12,high
CUST00043,2025-06-27,Tier 2,45+,Influencer,Gold,Baby Care,,No,2025-09-30,0,test,2025-09-30,3,16,0,0,0,0,0,0,2025-09-30,welcome_offer,18,low
CUST00044,2024-06-11,Tier 2,35-44,Google Search,,Baby Care,Normal,Yes,2025-09-30,0,test,2025-09-30,6,27,2,1,1,4,2,10,2025-09-30,welcome_offer,18,medium
CUST00045,2024-08-28,Tier 1,25-34,Referral,,Skin Care,,Yes,2025-09-30,1,train,2025-09-30,6,16,1,1,0,3,1,10,2025-09-30,welcome_offer,25,high
CUST00046,2025-04-22,Tier 1,25-34,Referral,Gold,Baby Care,,Yes,2025-09-30,1,train,2025-09-30,7,31,4,2,1,10,0,29,2025-09-30,new_launch,40,high
CUST00047,2024-12-26,Tier 1,25-34,Organic,Gold,Baby Care,,Yes,2025-09-30,1,train,2025-09-30,2,9,1,0,0,3,1,36,2025-09-30,free_shipping,0,high
CUST00048,2025-03-22,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No,2025-09-30,0,validation,2025-09-30,12,38,2,2,1,0,0,12,2025-09-30,none,25,medium
CUST00049,2025-08-29,Tier 1,25-34,Marketplace,,Hair Care,Oily,Yes,2025-09-30,0,train,2025-09-30,4,13,1,1,1,3,1,0,2025-09-30,new_launch,0,low
CUST00050,2025-01-23,Tier 3,25-34,Referral,Gold,Hair Care,,Yes,2025-09-30,0,train,2025-09-30,3,12,1,1,0,3,1,0,2025-09-30,bundle_discount,18,low
CUST00051,2024-02-11,Tier 3,35-44,Instagram,,Skin Care,Dry,Yes,2025-09-30,1,train,2025-09-30,6,32,2,1,1,8,2,35,2025-09-30,new_launch,25,high
CUST00052,2024-09-19,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,1,train,2025-09-30,7,34,2,1,1,0,0,8,2025-09-30,free_shipping,0,medium
CUST00053,2025-01-19,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes,2025-09-30,0,validation,2025-09-30,9,29,2,2,1,3,1,5,2025-09-30,welcome_offer,0,medium
CUST00054,2025-08-02,Tier 1,35-44,Referral,,Hair Care,Sensitive,Yes,2025-09-30,0,train,2025-09-30,3,12,1,0,0,0,0,0,2025-09-30,welcome_offer,18,low
CUST00055,2025-01-05,Tier 3,25-34,Marketplace,,Makeup,,Yes,2025-09-30,0,train,2025-09-30,6,32,2,1,1,7,2,0,2025-09-30,new_launch,12,low
CUST00056,2025-03-22,Tier 2,35-44,Google Search,,Wellness,Sensitive,No,2025-09-30,0,validation,2025-09-30,3,15,1,1,1,0,0,0,2025-09-30,new_launch,12,medium
CUST00057,2025-01-23,Tier 2,25-34,Google Search,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,7,21,1,0,0,9,1,29,2025-09-30,none,25,high
CUST00058,2024-01-11,Tier 1,25-34,Google Search,,Baby Care,Dry,Yes,2025-09-30,0,test,2025-09-30,2,6,1,0,0,8,4,6,2025-09-30,new_launch,25,medium
CUST00059,2024-04-05,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,0,test,2025-09-30,3,11,1,0,0,0,0,2,2025-09-30,new_launch,18,low
CUST00060,2025-04-09,Tier 1,25-34,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,2025-09-30,5,26,2,1,0,0,0,20,2025-09-30,none,12,high
CUST00061,2024-10-10,Tier 3,35-44,Referral,,Skin Care,Dry,Yes,2025-09-30,0,train,2025-09-30,4,19,2,0,1,2,1,15,2025-09-30,welcome_offer,18,medium
CUST00062,2024-05-09,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes,2025-09-30,0,train,2025-09-30,9,30,3,2,1,7,1,0,2025-09-30,welcome_offer,12,low
CUST00063,2024-12-14,Tier 1,18-24,Influencer,,Fragrance,Combination,Yes,2025-09-30,1,train,2025-09-30,0,0,0,0,0,3,0,24,2025-09-30,bundle_discount,0,high
CUST00064,2025-07-30,Tier 1,45+,Google Search,,Hair Care,Normal,No,2025-09-30,0,test,2025-09-30,8,42,4,1,3,0,0,0,2025-09-30,free_shipping,25,low
CUST00065,2025-03-29,Tier 2,25-34,Referral,,Skin Care,,Yes,2025-09-30,0,train,2025-09-30,3,18,0,1,0,4,2,0,2025-09-30,bundle_discount,40,low
CUST00066,2024-03-24,Tier 1,18-24,Instagram,,Hair Care,Normal,Yes,2025-09-30,1,train,2025-09-30,11,35,2,2,1,5,1,60,2025-09-30,bundle_discount,40,high
CUST00067,2025-04-09,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes,2025-09-30,1,test,2025-09-30,1,3,0,0,0,4,2,5,2025-09-30,welcome_offer,40,medium
CUST00068,2024-05-25,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,5,18,0,1,0,3,1,60,2025-09-30,bundle_discount,25,high
CUST00069,2024-10-05,Tier 2,25-34,Instagram,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,9,48,1,2,0,7,1,0,2025-09-30,bundle_discount,12,low
CUST00070,2025-08-12,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes,2025-09-30,1,train,2025-09-30,1,4,0,0,0,1,0,18,2025-09-30,none,18,high
CUST00071,2025-08-22,Tier 3,25-34,Influencer,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,1,3,0,0,0,6,2,12,2025-09-30,free_shipping,25,high
CUST00072,2024-10-22,Tier 1,35-44,Organic,,Skin Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,7,26,3,2,2,5,1,26,2025-09-30,none,18,high
CUST00073,2024-01-02,Tier 2,25-34,Google Search,,Hair Care,Combination,Yes,2025-09-30,0,train,2025-09-30,7,35,1,0,0,4,1,0,2025-09-30,none,12,low
CUST00074,2024-10-21,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes,2025-09-30,0,train,2025-09-30,14,51,3,2,1,2,1,22,2025-09-30,new_launch,40,medium
CUST00075,2024-08-18,Tier 3,45+,Referral,,Fragrance,Combination,No,2025-09-30,0,train,2025-09-30,10,43,2,1,1,0,0,13,2025-09-30,none,40,low
CUST00076,2025-05-09,Tier 1,45+,Referral,,Wellness,Normal,No,2025-09-30,0,train,2025-09-30,17,78,7,5,4,0,0,8,2025-09-30,bundle_discount,40,low
CUST00077,2025-02-28,Tier 3,25-34,Google Search,,Makeup,Normal,Yes,2025-09-30,1,validation,2025-09-30,0,0,0,0,0,0,0,20,2025-09-30,welcome_offer,25,high
CUST00078,2025-05-10,Tier 2,25-34,Referral,,Hair Care,Dry,No,2025-09-30,1,train,2025-09-30,5,13,1,1,0,0,0,38,2025-09-30,welcome_offer,0,high
CUST00079,2025-02-24,Tier 2,18-24,Marketplace,Silver,Hair Care,,No,2025-09-30,1,train,2025-09-30,2,8,0,0,0,0,0,31,2025-09-30,none,18,high
CUST00080,2024-05-09,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No,2025-09-30,0,train,2025-09-30,11,31,4,1,2,0,0,3,2025-09-30,none,0,medium
CUST00081,2024-06-07,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No,2025-09-30,0,train,2025-09-30,12,63,4,2,1,0,0,0,2025-09-30,bundle_discount,12,low
CUST00082,2024-11-20,Tier 3,25-34,Referral,,Baby Care,Dry,Yes,2025-09-30,1,test,2025-09-30,7,35,2,1,1,7,3,44,2025-09-30,none,18,high
CUST00083,2025-03-20,Tier 2,45+,Marketplace,,Skin Care,Sensitive,No,2025-09-30,1,train,2025-09-30,9,43,2,1,1,0,0,17,2025-09-30,bundle_discount,25,high
CUST00084,2025-01-18,Tier 1,25-34,Google Search,Silver,Skin Care,Dry,Yes,2025-09-30,1,train,2025-09-30,11,60,5,1,2,3,1,34,2025-09-30,bundle_discount,40,high
CUST00085,2025-08-20,Tier 2,18-24,Google Search,,Skin Care,Combination,No,2025-09-30,1,train,2025-09-30,8,34,0,1,0,0,0,0,2025-09-30,none,25,low
CUST00086,2024-12-19,Tier 1,45+,Influencer,Silver,Hair Care,Sensitive,Yes,2025-09-30,0,test,2025-09-30,7,39,2,1,1,5,2,0,2025-09-30,welcome_offer,25,medium
CUST00087,2025-08-08,Tier 1,25-34,Marketplace,,Fragrance,Combination,Yes,2025-09-30,0,train,2025-09-30,1,4,0,0,0,0,0,15,2025-09-30,new_launch,18,high
CUST00088,2024-02-20,Tier 2,45+,Organic,Gold,Makeup,Dry,Yes,2025-09-30,1,test,2025-09-30,9,29,2,1,1,1,0,18,2025-09-30,new_launch,25,high
CUST00089,2024-05-20,Tier 3,25-34,Marketplace,,Hair Care,Normal,Yes,2025-09-30,1,train,2025-09-30,12,40,1,2,0,6,3,31,2025-09-30,none,18,high
CUST00090,2025-03-01,Tier 1,18-24,Referral,Platinum,Baby Care,Sensitive,No,2025-09-30,0,train,2025-09-30,5,25,3,1,1,0,0,36,2025-09-30,new_launch,0,high
CUST00091,2024-10-29,Tier 1,35-44,Instagram,Platinum,Skin Care,Dry,No,2025-09-30,0,train,2025-09-30,9,51,5,2,2,0,0,11,2025-09-30,free_shipping,0,high
CUST00092,2025-07-24,Tier 3,25-34,Instagram,,Hair Care,,No,2025-09-30,0,test,2025-09-30,1,5,0,0,0,0,0,3,2025-09-30,new_launch,25,high
CUST00093,2025-01-15,Tier 1,18-24,Instagram,Gold,Baby Care,Normal,Yes,2025-09-30,1,validation,2025-09-30,16,67,7,3,3,9,4,21,2025-09-30,none,0,high
CUST00094,2024-11-05,Tier 1,25-34,Instagram,,Wellness,Oily,Yes,2025-09-30,1,validation,2025-09-30,6,20,2,1,1,4,1,60,2025-09-30,new_launch,0,high
CUST00095,2025-07-07,Tier 2,25-34,Instagram,,Skin Care,Combination,Yes,2025-09-30,1,train,2025-09-30,10,57,1,2,1,2,1,7,2025-09-30,welcome_offer,18,medium
CUST00096,2024-08-10,Tier 3,25-34,Organic,,Makeup,Normal,No,2025-09-30,0,test,2025-09-30,12,67,2,2,1,0,0,15,2025-09-30,new_launch,0,medium
CUST00097,2024-05-05,Tier 3,45+,Instagram,,Baby Care,Oily,Yes,2025-09-30,0,train,2025-09-30,0,0,0,0,0,0,0,0,2025-09-30,new_launch,18,low
CUST00098,2024-07-29,Tier 2,18-24,Instagram,,Fragrance,Sensitive,No,2025-09-30,1,train,2025-09-30,8,34,0,2,0,0,0,49,2025-09-30,bundle_discount,0,high
CUST00099,2024-05-28,Tier 2,45+,Organic,,Fragrance,Dry,Yes,2025-09-30,0,train,2025-09-30,4,17,2,1,0,5,2,27,2025-09-30,welcome_offer,25,high
CUST00100,2024-06-27,Tier 1,25-34,Referral,,Skin Care,Combination,No,2025-09-30,0,validation,2025-09-30,1,3,0,0,0,0,0,29,2025-09-30,bundle_discount,18,high
CUST00101,2024-02-14,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,2025-09-30,1,train,2025-09-30,2,6,1,0,1,0,0,27,2025-09-30,free_shipping,0,high
CUST00102,2025-05-17,Tier 2,35-44,Organic,,Skin Care,Dry,Yes,2025-09-30,0,train,2025-09-30,2,11,1,0,0,1,0,7,2025-09-30,welcome_offer,0,high
CUST00103,2025-09-03,Tier 2,25-34,Marketplace,,Makeup,,Yes,2025-09-30,0,train,2025-09-30,6,18,2,1,1,4,1,0,2025-09-30,none,18,low
CUST00104,2025-04-07,Tier 1,35-44,Organic,,Makeup,Sensitive,Yes,2025-09-30,1,validation,2025-09-30,3,9,1,0,0,3,0,27,2025-09-30,bundle_discount,40,high
CUST00105,2025-04-30,Tier 3,18-24,Instagram,,Makeup,Dry,Yes,2025-09-30,0,train,2025-09-30,1,6,0,0,0,3,0,3,2025-09-30,new_launch,40,high
CUST00106,2024-05-05,Tier 3,25-34,Influencer,,Wellness,Oily,No,2025-09-30,1,train,2025-09-30,5,19,1,1,0,0,0,21,2025-09-30,bundle_discount,40,medium
CUST00107,2024-08-05,Tier 2,18-24,Organic,,Baby Care,Oily,No,2025-09-30,0,validation,2025-09-30,2,8,1,0,1,0,0,10,2025-09-30,free_shipping,12,low
CUST00108,2025-07-24,Tier 3,18-24,Organic,,Skin Care,,No,2025-09-30,1,train,2025-09-30,5,24,0,0,0,0,0,11,2025-09-30,new_launch,40,medium
CUST00109,2024-05-26,Tier 1,25-34,Instagram,Silver,Skin Care,,Yes,2025-09-30,0,test,2025-09-30,1,4,0,0,0,3,1,16,2025-09-30,free_shipping,12,high
CUST00110,2024-11-15,Tier 2,35-44,Referral,,Skin Care,Dry,No,2025-09-30,1,train,2025-09-30,4,15,1,1,0,0,0,8,2025-09-30,new_launch,12,medium
CUST00111,2025-03-10,Tier 2,25-34,Google Search,Silver,Skin Care,Combination,Yes,2025-09-30,1,test,2025-09-30,3,14,0,0,0,1,0,33,2025-09-30,welcome_offer,0,high
CUST00112,2024-11-11,Tier 1,18-24,Marketplace,,Hair Care,Dry,No,2025-09-30,0,train,2025-09-30,4,15,1,1,0,0,0,0,2025-09-30,welcome_offer,0,low
CUST00113,2025-05-24,Tier 1,35-44,Google Search,Silver,Hair Care,,No,2025-09-30,0,train,2025-09-30,17,65,2,5,0,0,0,2,2025-09-30,free_shipping,18,low
CUST00114,2024-01-20,Tier 1,25-34,Google Search,,Hair Care,,Yes,2025-09-30,1,test,2025-09-30,3,14,1,0,0,4,1,41,2025-09-30,new_launch,0,high
CUST00115,2025-04-16,Tier 3,35-44,Instagram,Gold,Skin Care,Normal,Yes,2025-09-30,1,train,2025-09-30,12,51,1,2,0,10,2,23,2025-09-30,welcome_offer,0,high
CUST00116,2024-08-14,Tier 1,25-34,Referral,,Hair Care,Sensitive,Yes,2025-09-30,1,validation,2025-09-30,10,45,1,1,0,4,2,26,2025-09-30,new_launch,12,high
CUST00117,2024-04-15,Tier 1,18-24,Marketplace,Silver,Baby Care,Dry,No,2025-09-30,1,train,2025-09-30,2,7,1,0,0,0,0,27,2025-09-30,bundle_discount,0,high
CUST00118,2025-08-16,Tier 3,25-34,Referral,Silver,Baby Care,,Yes,2025-09-30,0,train,2025-09-30,2,9,1,0,0,0,0,1,2025-09-30,none,25,low
CUST00119,2024-10-08,Tier 1,25-34,Instagram,,Skin Care,Sensitive,No,2025-09-30,0,train,2025-09-30,12,63,2,2,1,0,0,1,2025-09-30,free_shipping,12,medium
CUST00120,2025-08-31,Tier 2,25-34,Referral,Silver,Fragrance,Combination,No,2025-09-30,0,train,2025-09-30,6,21,3,0,1,0,0,5,2025-09-30,bundle_discount,18,low
CUST00121,2025-05-28,Tier 1,18-24,Instagram,Gold,Hair Care,,Yes,2025-09-30,0,validation,2025-09-30,5,29,2,1,1,3,1,2,2025-09-30,free_shipping,12,low
CUST00122,2025-03-25,Tier 2,25-34,Google Search,Gold,Hair Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,10,39,1,2,1,10,4,30,2025-09-30,none,18,high
CUST00123,2024-12-03,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,No,2025-09-30,0,train,2025-09-30,2,6,1,0,1,0,0,23,2025-09-30,new_launch,12,high
CUST00124,2024-12-24,Tier 2,25-34,Marketplace,,Makeup,Oily,Yes,2025-09-30,1,train,2025-09-30,5,18,2,1,1,0,0,43,2025-09-30,new_launch,12,high
CUST00125,2025-06-23,Tier 2,18-24,Referral,,Hair Care,Dry,Yes,2025-09-30,0,train,2025-09-30,0,0,0,0,0,5,1,0,2025-09-30,none,0,low
CUST00126,2024-06-07,Tier 3,18-24,Instagram,Silver,Fragrance,Normal,Yes,2025-09-30,1,train,2025-09-30,5,30,1,1,1,3,0,3,2025-09-30,new_launch,18,medium
CUST00127,2025-01-20,Tier 1,18-24,Marketplace,Silver,Wellness,,Yes,2025-09-30,0,test,2025-09-30,3,13,1,0,0,0,0,15,2025-09-30,welcome_offer,40,low
CUST00128,2025-03-30,Tier 2,25-34,Organic,,Skin Care,Combination,No,2025-09-30,0,test,2025-09-30,15,88,6,2,4,0,0,0,2025-09-30,free_shipping,0,low
CUST00129,2025-03-27,Tier 1,25-34,Google Search,,Wellness,Dry,No,2025-09-30,0,train,2025-09-30,7,34,3,2,2,0,0,2,2025-09-30,bundle_discount,12,high
CUST00130,2025-01-15,Tier 1,25-34,Organic,Gold,Skin Care,Dry,Yes,2025-09-30,0,train,2025-09-30,9,36,1,0,0,5,0,12,2025-09-30,new_launch,25,high
CUST00131,2024-08-15,Tier 3,35-44,Influencer,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2025-09-30,4,12,2,1,1,5,0,14,2025-09-30,welcome_offer,25,medium
CUST00132,2024-04-11,Tier 2,35-44,Organic,,Skin Care,Combination,Yes,2025-09-30,1,train,2025-09-30,1,3,0,0,0,6,0,24,2025-09-30,welcome_offer,18,high
CUST00133,2024-01-06,Tier 1,45+,Instagram,,Wellness,Normal,Yes,2025-09-30,0,test,2025-09-30,5,19,0,1,0,5,1,12,2025-09-30,free_shipping,0,medium
CUST00134,2024-02-18,Tier 2,25-34,Marketplace,,Fragrance,Combination,Yes,2025-09-30,0,validation,2025-09-30,11,49,1,3,1,8,0,4,2025-09-30,new_launch,25,low
CUST00135,2024-05-27,Tier 1,25-34,Google Search,,Skin Care,,Yes,2025-09-30,1,test,2025-09-30,3,10,1,0,0,4,1,60,2025-09-30,new_launch,12,high
CUST00136,2025-06-03,Tier 2,35-44,Instagram,Gold,Skin Care,Combination,No,2025-09-30,1,train,2025-09-30,7,40,2,1,1,0,0,15,2025-09-30,new_launch,12,medium
CUST00137,2024-12-19,Tier 2,25-34,Instagram,Silver,Makeup,Dry,Yes,2025-09-30,1,test,2025-09-30,4,13,2,1,1,1,0,31,2025-09-30,none,25,high
CUST00138,2025-04-20,Tier 2,45+,Instagram,,Makeup,Combination,Yes,2025-09-30,0,train,2025-09-30,5,14,0,1,0,3,1,24,2025-09-30,bundle_discount,0,medium
CUST00139,2024-11-19,Tier 2,45+,Influencer,,Skin Care,,Yes,2025-09-30,0,test,2025-09-30,5,17,3,0,1,0,0,10,2025-09-30,none,25,medium
CUST00140,2024-12-05,Tier 3,25-34,Referral,,Hair Care,Combination,Yes,2025-09-30,0,test,2025-09-30,14,59,4,1,3,1,0,12,2025-09-30,new_launch,0,medium
CUST00141,2025-06-15,Tier 1,25-34,Referral,,Wellness,Dry,Yes,2025-09-30,0,test,2025-09-30,4,19,1,1,0,5,1,0,2025-09-30,none,18,low
CUST00142,2024-11-09,Tier 2,25-34,Instagram,,Hair Care,,No,2025-09-30,1,test,2025-09-30,2,7,0,1,0,0,0,41,2025-09-30,new_launch,40,high
CUST00143,2024-02-28,Tier 2,18-24,Google Search,Silver,Makeup,Oily,Yes,2025-09-30,0,train,2025-09-30,5,23,1,1,1,2,1,9,2025-09-30,free_shipping,0,low
CUST00144,2024-03-09,Tier 2,25-34,Google Search,Gold,Skin Care,Dry,Yes,2025-09-30,0,validation,2025-09-30,8,32,3,1,0,6,2,17,2025-09-30,free_shipping,25,high
CUST00145,2025-08-10,Tier 1,18-24,Google Search,,Wellness,Oily,No,2025-09-30,1,validation,2025-09-30,0,0,0,0,0,0,0,0,2025-09-30,none,40,high
